subjCode,Category,Subcategory1,Subcategory2,firstStimPosition,secondStimPosition,pic1,pic2
testSubj2,Boats,cruiseliner,icebreaker,left,right,cruise__n5,icebreaker__n03556992_2352
testSubj2,Trains,bullettrain,monorail,left,right,bullet__n02917067_469,mono__monorail01
testSubj2,Dogs,malamute,schipperke,left,right,malamute__n02110063_1034_obj1,schipperke__n02104365_10606_obj1
testSubj2,Boats,canoe,cruiseliner,right,left,canoe__n02951358_2654,cruise__n5
testSubj2,Dogs,chihuahua,pug,right,left,chihuahua__n02085620_3942_obj1,pug__n02110958_353_obj1
testSubj2,Cats,manx,persian,right,left,manx__4,persian__n02123394_2429
testSubj2,Dogs,chihuahua,schipperke,right,left,chihuahua__n02085620_3942_obj1,schipperke__n02104365_10606_obj1
testSubj2,Trains,monorail,subway,right,left,mono__monorail01,subway__n04349306_194
testSubj2,Bird,cockateel,hawk,left,right,cockateel__2,hawk__2
testSubj2,Fish,needlefish,sturgeon,left,right,aneed__9,sturgeon__6
testSubj2,Cars,mini,racecar,right,left,mini__n03770085_949,racing__n04037443_232
testSubj2,Planes,airliner,gyroplane,left,right,airliner__n02690373_6285_obj1,gyro__n02759387_17277_obj1
testSubj2,Planes,glider,seaplane,right,left,glider__n03439814_12866,seaplane__n04160586_16578_obj1
testSubj2,Boats,galleon,rowboat,left,right,galleon__n03411339_6447,row__r8
testSubj2,Cats,egyptian,manx,left,right,egyptian__n02124075_8383,manx__4
testSubj2,Planes,airliner,biplane,left,right,airliner__n02690373_6285_obj1,biplane__n02842573_702_obj1
testSubj2,Bird,hen,ostrich,right,left,hen__2,ost__2
testSubj2,Dogs,komondor,malamute,right,left,komondor__n02105505_2992_obj1,malamute__n02110063_1034_obj1
testSubj2,Boats,aircraftcarrier,canoe,right,left,carriern02687172_1509,canoe__n02951358_2654
testSubj2,Boats,battleship,rowboat,left,right,battle__n02812201_334,row__r8
testSubj2,Dogs,schnauzer,welsh,left,right,schnauzer__n02096756_6747_obj1,welsh__n02112826_9485_obj1
testSubj2,Bird,owl,swan,left,right,owl__9,swan__2
testSubj2,Trains,inclinerailway,tram,right,left,incline__incline1a,tram__n04335435_235
testSubj2,Cats,persian,tortishell,left,right,persian__n02123394_2429,tort__n02123242_10929
testSubj2,Boats,cruiseliner,galleon,right,left,cruise__n5,galleon__n03411339_6447
testSubj2,Dogs,chihuahua,welsh,left,right,chihuahua__n02085620_3942_obj1,welsh__n02112826_9485_obj1
testSubj2,Cats,abyssinian,persian,right,left,abyss__n02124313_105,persian__n02123394_2429
testSubj2,Cats,angora,siamese,right,left,angora__n02123478_7736,siamese__n02123597_4586
testSubj2,Cats,abyssinian,manx,left,right,abyss__n02124313_105,manx__4
testSubj2,Bird,ostrich,vulture,right,left,ost__2,vulture__3
testSubj2,Boats,canoe,sailboat,right,left,canoe__n02951358_2654,sail__s5
testSubj2,Planes,delta,stealth,right,left,delta__n03174079_9078,stealth__n04308084_2038_obj1
testSubj2,Boats,cruiseliner,sailboat,right,left,cruise__n5,sail__s5
